Original ID,d2H,d18O,Wt% H,Wt% O,%O:%H ratio,ID on envelope,Fether_type,Feather_cat
3,-62,9.8,5.5,22.8,4.2,1422-02211,Breast,Body
7,-46,12.1,5.5,22.9,4.2,1422-02212,Breast,Body
11,-21,13.1,5.8,23.8,4.2,1422-02213,Breast,Body
15,-54,11,5.5,22.1,4,1422-02214,Breast,Body
19,-53,12.1,5.7,23.3,4.1,1422-02215,Breast,Body
26,-60,10.5,5.5,23,4.2,1422-02217,Breast,Body
30,-70,10,5.6,23.1,4.2,1422-02218,Breast,Body
34,-118,12.5,5.8,20.3,3.5,1422-02219,Breast 1,Body
101,-153,4.4,6.5,25.9,4,San Deigo ,Rectrix,Flight
102,-156,4.5,5.6,20.7,3.7,San Deigo ,Secondary,Flight
103,-152,4,5.1,21.7,4.2,San Deigo ,Flank,Body
4,-52,10.7,5.1,20.1,3.9,1422-02211,Nape,Body
8,-92,10.2,11.4,39.2,3.6,1422-02212,Nape,Body
12,-18,13.6,5.8,22.3,3.9,1422-02213,Nape,Body
16,-52,11.7,11.6,44.9,3.9,1422-02214,Nape,Body
20,-58,11,5.4,22,4.1,1422-02215,Nape,Body
23,-54,11.8,5.3,22,4.1,1422-02216,Nape,Body
27,-57,10.1,5.3,21.9,4.1,1422-02217,Nape,Body
31,-67,10.9,5.5,22.5,4.1,1422-02218,Nape,Body
35,-51,10.9,5.5,23.8,4.3,1422-02219,Nape,Body
40,-62,13.3,4.9,19.8,4.1,1422-02221,Nape,Body
42,-104,7.8,5.6,22.4,4,1422-02251,Rectrix,Flight
2,-121,7.4,5.5,20.1,3.6,1422-02211,Rectrix,Flight
6,-44,12.6,5.4,21.4,3.9,1422-02212,Rectrix,Flight
10,-100,6.9,5.8,21.8,3.8,1422-02213,Rectrix,Flight
14,-75,11.3,4.4,16.9,4,1422-02214,Rectrix,Flight
18,-111,12.6,4.9,18.7,3.9,1422-02215,Rectrix,Flight
25,-110,11.5,5.9,21.8,3.7,1422-02217,Rectrix,Flight
29,-58,10.7,4.9,21.9,4.5,1422-02218,Rectrix,Flight
33,-112,8,5.8,21.8,3.8,1422-02219,Rectrix,Flight
37,-130,9.5,3.1,19.2,8.5,1422-02220,Rectrix,Flight
39,-100,14.2,5.8,22.2,3.8,1422-02221,Rectrix,Flight
22,-105,11.5,5.5,21.2,3.8,1422-02216,Rectrix,Flight
1,-115,7.1,5.7,21.5,3.8,1422-02211,Secondary,Flight
5,-90,21,6,21.6,3.6,1422-02212,Secondary,Flight
9,-103,6.6,5.5,20.5,3.7,1422-02213,Secondary,Flight
13,-100,9.3,5.7,21.5,3.8,1422-02214,Secondary,Flight
17,-118,6.8,5.7,21.4,3.7,1422-02215,Secondary,Flight
21,-103,14.4,5.9,22,3.7,1422-02216,Secondary,Flight
24,-90,11.2,5.9,22.1,3.7,1422-02217,Secondary,Flight
28,-93,9.8,5.6,21.4,3.8,1422-02218,Secondary,Flight
32,-114,7.4,5.6,21.6,3.9,1422-02219,Secondary,Flight
36,-111,8.2,5.7,21.5,3.7,1422-02220,Secondary,Flight
38,-107,10.4,5.7,21,3.7,1422-02221,Secondary,Flight
60,-10,15.7,5.4,23,4.2,1422-02251,Wing covert,Flight
41,-105,8,5.4,20.9,3.9,1422-02251,Wing covert ,Flight
