SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.1,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/02/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
,1,-115,7.1,5.7,21.5,3.8,1422-02211,Secondary
,2,-121,7.4,5.5,20.1,3.6,1422-02211,Rectrix
,3,-62,9.8,5.5,22.8,4.2,1422-02211,Breast
,4,-52,10.7,5.1,20.1,3.9,1422-02211,Nape
,5,-90,21.0,6.0,21.6,3.6,1422-02212,Secondary
,6,-44,12.6,5.4,21.4,3.9,1422-02212,Rectrix
,7,-46,12.1,5.5,22.9,4.2,1422-02212,Breast
,8,-92,10.2,11.4,39.2,3.6,1422-02212,Nape
,9,-103,6.6,5.5,20.5,3.7,1422-02213,Secondary
,10,-100,6.9,5.8,21.8,3.8,1422-02213,Rectrix
,11,-21,13.1,5.8,23.8,4.2,1422-02213,Breast
,12,-18,13.6,5.8,22.3,3.9,1422-02213,Nape
,13,-100,9.3,5.7,21.5,3.8,1422-02214,Secondary
,14,-75,11.3,4.4,16.9,4.0,1422-02214,Rectrix
,15,-54,11.0,5.5,22.1,4.0,1422-02214,Breast
,16,-52,11.7,11.6,44.9,3.9,1422-02214,Nape
,17,-118,6.8,5.7,21.4,3.7,1422-02215,Secondary
,18,-111,12.6,4.9,18.7,3.9,1422-02215,Rectrix
,19,-53,12.1,5.7,23.3,4.1,1422-02215,Breast
,20,-58,11.0,5.4,22.0,4.1,1422-02215,Nape
,21,-103,14.4,5.9,22.0,3.7,1422-02216,Secondary
,22,-105,11.5,5.5,21.2,3.8,1422-02216,Rectrix 1
,23,-54,11.8,5.3,22.0,4.1,1422-02216,Nape
,24,-90,11.2,5.9,22.1,3.7,1422-02217,Secondary
,25,-110,11.5,5.9,21.8,3.7,1422-02217,Rectrix
,26,-60,10.5,5.5,23.0,4.2,1422-02217,Breast
,27,-57,10.1,5.3,21.9,4.1,1422-02217,Nape
,28,-93,9.8,5.6,21.4,3.8,1422-02218,Secondary
,29,-58,10.7,4.9,21.9,4.5,1422-02218,Rectrix
,30,-70,10.0,5.6,23.1,4.2,1422-02218,Breast
,31,-67,10.9,5.5,22.5,4.1,1422-02218,Nape
,32,-114,7.4,5.6,21.6,3.9,1422-02219,Secondary
,33,-112,8.0,5.8,21.8,3.8,1422-02219,Rectrix
,34,-118,12.5,5.8,20.3,3.5,1422-02219,Breast 1
,35,-51,10.9,5.5,23.8,4.3,1422-02219,Nape
,36,-111,8.2,5.7,21.5,3.7,1422-02220,Secondary
,37,-130,9.5,3.1,19.2,8.5,1422-02220,Rectrix
,38,-107,10.4,5.7,21.0,3.7,1422-02221,Secondary
Quality Assurance,,,,,,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
DS,DS,-175.4,6.0,6.2,22.6,3.6,,
d2HVSMOW = -172.7‰,DS,-172.7,5.8,6.0,22.1,3.7,,
d18OVSMOW = +6.02‰,DS,-172.3,6.2,5.9,22.5,3.8,,
,DS,-171.4,5.8,5.9,22.4,3.8,,
,DS,-171.8,5.8,5.8,22.2,3.8,,
,DS,-171.5,6.5,5.8,21.9,3.8,,
average,,-173,6.0,5.9,22.3,,,
standard uncertainty,,1.5,0.3,0.2,0.2,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
ORX,ORX,-34.5,25.1,5.8,22.5,3.9,,
d2HVSMOW = -34.0‰,ORX,-33.6,25.0,5.8,22.1,3.8,,
d18OVSMOW = +25.09‰,ORX,-32.8,25.4,5.8,22.4,3.8,,
,ORX,-35.1,25.3,5.8,22.3,3.9,,
,ORX,-33.7,24.9,5.7,22.4,4.0,,
,ORX,-34.6,24.8,5.6,22.3,4.0,,
average,,-34.0,25.1,5.8,22.3,,,
standard uncertainty,,0.8,0.2,0.1,0.1,,,
Quality Control,,,,,,,,
,Sample ID,2H/1HVSMOW,18O/16OVSMOW,Wt% H,Wt% O,O:H ratio,,
POW,POW,-101.7,12.3,5.9,21.7,3.7,,
d2HVSMOW = -100.9‰,POW,-102.1,12.4,5.9,21.8,3.7,,
d18OVSMOW = +12.34‰,POW,-100.7,12.8,5.9,21.9,3.7,,
,POW,-101.8,12.4,6.0,22.7,3.8,,
,POW,-102.1,12.4,5.8,21.7,3.8,,
,POW,-103.0,12.5,6.0,21.8,3.6,,
average,,-101.9,12.5,5.9,21.9,,,
standard uncertainty,,0.8,0.2,0.1,0.4,,,
acceptable range,d2HVSMOW,-102.9,,,,,,
1 sigma = 2.0,,-98.9,,,,,,
acceptable range,d18OVSMOW,,12.1,,,,,
1 sigma = 0.20,,,12.5,,,,,
,,,,,,,,
SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.2,,,Analyst:,,Suvankar Chakraborty,,,
