,,,,[SIBS normalization report],,,,
,,,,,,,,
,Quality Control and  Assurance,,,,,,,
,- Isotope normalization is performed using USGS Glutamic Acid 40 and 41.,,,,,,,
,- %N and %C are calculated using NIST plant standard Apple1515.,,,,,,,
,- Quality assurance is performed using in-house plant standards (SIBS-pCo and SIBS-pEc).,,,,,,,
,,,,,,,,
,,Standard ID,,"d15N (permil, AIR)","d13C (permil, VPDB)",,,
,,Quality Control,,,,,,
,,Glutamic Acid 40,Average,-4.5,-26.4,,,
,,(n=2),SD (1s),0.1,0.0,,,
,,,Known value,-4.5,-26.4,,,
,,,,,,,,
,,Glutamic Acid 41,Average,47.6,36.6,,,
,,(n=2),SD (1s),0.3,0.0,,,
,,,Known value,47.6,36.6,,,
,,,,,,,,
,,Quality Assurance,,"d15N (permil, AIR)","d13C (permil, VPDB)",%N,%C,
,,SIBS-pCo,Average,5.7,-10.6,2.0,42.8,
,,(n=3),SD (1s),0.6,0.1,0.0,0.0,
,,,Consensus value,5.4,-12.7,2.0,42.3,
,,,,,,,,
,,SIBS-pEc,Average,30.0,-37.9,2.2,42.7,
,,(n=3),SD (1s),0.3,0.1,0.0,0.2,
,,,Consensus value,29.9,-39.9,2.2,41.9,
,,,,,,,,
