"Original_ID","Envelope_ID","Group","Feather_type_raw","Feather_type_clean","Feather_cat","d2H","d18O","WtH","WtO","OHratio","Job_ID","Run_date","POW_d2H_su","POW_d18O_su","QC_flag"
3,"1422-02211","KLMA","Breast","Breast","Body",-62,9.8,5.5,22.8,4.2,"24- 215.1","6/02/2024",0.8,0.2,"ok"
7,"1422-02212","KLMA","Breast","Breast","Body",-46,12.1,5.5,22.9,4.2,"24- 215.1","6/02/2024",0.8,0.2,"ok"
11,"1422-02213","KLMA","Breast","Breast","Body",-21,13.1,5.8,23.8,4.2,"24- 215.1","6/02/2024",0.8,0.2,"ok"
15,"1422-02214","KLMA","Breast","Breast","Body",-54,11,5.5,22.1,4,"24- 215.1","6/02/2024",0.8,0.2,"ok"
19,"1422-02215","KLMA","Breast","Breast","Body",-53,12.1,5.7,23.3,4.1,"24- 215.1","6/02/2024",0.8,0.2,"ok"
26,"1422-02217","KLMA","Breast","Breast","Body",-60,10.5,5.5,23,4.2,"24- 215.1","6/02/2024",0.8,0.2,"ok"
30,"1422-02218","KLMA","Breast","Breast","Body",-70,10,5.6,23.1,4.2,"24- 215.1","6/02/2024",0.8,0.2,"ok"
34,"1422-02219","KLMA","Breast 1","Breast","Body",-118,12.5,5.8,20.3,3.5,"24- 215.1","6/02/2024",0.8,0.2,"ok"
101,"San Diego ref bird","San_Diego_ref","Rectrix","Rectrix","Flight",-153,4.4,6.5,25.9,4,"24- 215.3","6/20/2024",1.7,0.2,"ok"
102,"San Diego ref bird","San_Diego_ref","Secondary","Secondary","Flight",-156,4.5,5.6,20.7,3.7,"24- 215.3","6/20/2024",1.7,0.2,"ok"
103,"San Diego ref bird","San_Diego_ref","Flank","Flank","Body",-152,4,5.1,21.7,4.2,"24- 215.3","6/20/2024",1.7,0.2,"ok"
4,"1422-02211","KLMA","Nape","Nape","Body",-52,10.7,5.1,20.1,3.9,"24- 215.1","6/02/2024",0.8,0.2,"ok"
8,"1422-02212","KLMA","Nape","Nape","Body",-92,10.2,11.4,39.2,3.6,"24- 215.1","6/02/2024",0.8,0.2,"flag_wt_pct_outlier"
12,"1422-02213","KLMA","Nape","Nape","Body",-18,13.6,5.8,22.3,3.9,"24- 215.1","6/02/2024",0.8,0.2,"ok"
16,"1422-02214","KLMA","Nape","Nape","Body",-52,11.7,11.6,44.9,3.9,"24- 215.1","6/02/2024",0.8,0.2,"flag_wt_pct_outlier"
20,"1422-02215","KLMA","Nape","Nape","Body",-58,11,5.4,22,4.1,"24- 215.1","6/02/2024",0.8,0.2,"ok"
23,"1422-02216","KLMA","Nape","Nape","Body",-54,11.8,5.3,22,4.1,"24- 215.1","6/02/2024",0.8,0.2,"ok"
27,"1422-02217","KLMA","Nape","Nape","Body",-57,10.1,5.3,21.9,4.1,"24- 215.1","6/02/2024",0.8,0.2,"ok"
31,"1422-02218","KLMA","Nape","Nape","Body",-67,10.9,5.5,22.5,4.1,"24- 215.1","6/02/2024",0.8,0.2,"ok"
35,"1422-02219","KLMA","Nape","Nape","Body",-51,10.9,5.5,23.8,4.3,"24- 215.1","6/02/2024",0.8,0.2,"ok"
40,"1422-02221","KLMA","Nape","Nape","Body",-62,13.3,4.9,19.8,4.1,"24- 215.2","6/16/2024",1.2,0.2,"ok"
42,"1422-02251","KLMA","Rectrix","Rectrix","Flight",-104,7.8,5.6,22.4,4,"24- 215.2","6/16/2024",1.2,0.2,"ok"
2,"1422-02211","KLMA","Rectrix","Rectrix","Flight",-121,7.4,5.5,20.1,3.6,"24- 215.1","6/02/2024",0.8,0.2,"ok"
6,"1422-02212","KLMA","Rectrix","Rectrix","Flight",-44,12.6,5.4,21.4,3.9,"24- 215.1","6/02/2024",0.8,0.2,"ok"
10,"1422-02213","KLMA","Rectrix","Rectrix","Flight",-100,6.9,5.8,21.8,3.8,"24- 215.1","6/02/2024",0.8,0.2,"ok"
14,"1422-02214","KLMA","Rectrix","Rectrix","Flight",-75,11.3,4.4,16.9,4,"24- 215.1","6/02/2024",0.8,0.2,"ok"
18,"1422-02215","KLMA","Rectrix","Rectrix","Flight",-111,12.6,4.9,18.7,3.9,"24- 215.1","6/02/2024",0.8,0.2,"ok"
25,"1422-02217","KLMA","Rectrix","Rectrix","Flight",-110,11.5,5.9,21.8,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
29,"1422-02218","KLMA","Rectrix","Rectrix","Flight",-58,10.7,4.9,21.9,4.5,"24- 215.1","6/02/2024",0.8,0.2,"ok"
33,"1422-02219","KLMA","Rectrix","Rectrix","Flight",-112,8,5.8,21.8,3.8,"24- 215.1","6/02/2024",0.8,0.2,"ok"
37,"1422-02220","KLMA","Rectrix","Rectrix","Flight",-130,9.5,3.1,19.2,8.5,"24- 215.1","6/02/2024",0.8,0.2,"flag_OHratio_outlier"
39,"1422-02221","KLMA","Rectrix","Rectrix","Flight",-100,14.2,5.8,22.2,3.8,"24- 215.2","6/16/2024",1.2,0.2,"ok"
22,"1422-02216","KLMA","Rectrix","Rectrix","Flight",-105,11.5,5.5,21.2,3.8,"24- 215.1","6/02/2024",0.8,0.2,"ok"
1,"1422-02211","KLMA","Secondary","Secondary","Flight",-115,7.1,5.7,21.5,3.8,"24- 215.1","6/02/2024",0.8,0.2,"ok"
5,"1422-02212","KLMA","Secondary","Secondary","Flight",-90,21,6,21.6,3.6,"24- 215.1","6/02/2024",0.8,0.2,"ok"
9,"1422-02213","KLMA","Secondary","Secondary","Flight",-103,6.6,5.5,20.5,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
13,"1422-02214","KLMA","Secondary","Secondary","Flight",-100,9.3,5.7,21.5,3.8,"24- 215.1","6/02/2024",0.8,0.2,"ok"
17,"1422-02215","KLMA","Secondary","Secondary","Flight",-118,6.8,5.7,21.4,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
21,"1422-02216","KLMA","Secondary","Secondary","Flight",-103,14.4,5.9,22,3.7,"24- 215.1","6/02/2024",0.8,0.2,"ok"
