"Bird","Type","Feathers","n_feathers","Peak_lon","Peak_lat","50pct_credible_km2","90pct_credible_km2","P_Mexico_pct","P_PacificNW_pct","Quality_note"
"1422-02211","KLMA","Body",2,-103.292,25.792,14124,65648,84.4,0,""
"1422-02211","KLMA","Flight",2,-119.958,39.125,929,9033,0,68.3,""
"1422-02212","KLMA","Body",2,-121.792,39.208,8011,39101,0.2,96.6,""
"1422-02212","KLMA","Flight",2,-113.625,45.125,427,130792,44.4,50,"Low match quality -- see Methods"
"1422-02213","KLMA","Body",2,-105.292,21.958,1033,3100,92.8,0,"Low match quality -- see Methods"
"1422-02213","KLMA","Flight",2,-120.875,45.625,2887,17229,0,90,""
"1422-02214","KLMA","Body",2,-103.292,25.708,9727,69664,82.4,0,"Low match quality -- see Methods"
"1422-02214","KLMA","Flight",2,-119.542,45.958,6967,25673,0,99.8,""
"1422-02215","KLMA","Body",2,-103.375,24.042,22425,105510,91.4,0.5,""
"1422-02215","KLMA","Flight",2,-113.625,45.125,61,183,0,99.2,"Low match quality -- see Methods"
"1422-02216","KLMA","Body",1,-102.542,20.292,72254,322700,85.4,1.1,""
"1422-02216","KLMA","Flight",2,-113.625,45.125,61,61,0,100,"Low match quality -- see Methods"
"1422-02217","KLMA","Body",2,-103.292,25.708,9889,70617,82.6,0,"Low match quality -- see Methods"
"1422-02217","KLMA","Flight",2,-113.625,45.125,437,2638,0,78.4,"Low match quality -- see Methods"
"1422-02218","KLMA","Body",2,-121.958,38.125,12451,63155,13.4,82.8,""
"1422-02218","KLMA","Flight",2,-122.958,44.458,5639,28298,0.1,90.1,""
"1422-02219","KLMA","Body",2,-113.625,45.125,973,97821,43.9,50,"Low match quality -- see Methods"
"1422-02219","KLMA","Flight",2,-112.625,44.125,5608,44627,0,89.7,""
"1422-02220","KLMA","Flight",2,-113.625,45.125,61,183,0,99.7,"Low match quality -- see Methods"
"1422-02221","KLMA","Body",1,-122.708,44.958,20852,98761,0.4,82.6,""
"1422-02221","KLMA","Flight",2,-113.625,45.125,61,183,0,99.8,"Low match quality -- see Methods"
"1422-02251","KLMA","Flight",3,-105.292,21.958,28755,183486,29.3,64.5,"Low match quality -- see Methods"
"All KLMA (population mean)","KLMA","Body",10,-113.625,45.125,57055,393051,57.7,31.4,""
"All KLMA (population mean)","KLMA","Flight",12,-113.625,45.125,1906,153110,6.2,85.8,""
"1272-31742","Reference (non-KLMA)","Body",4,-105.292,21.875,715,2623,94.9,0,""
"1272-31742","Reference (non-KLMA)","Flight",3,-113.625,45.125,14907,104157,29.1,59.1,"Low match quality -- see Methods"
"San Diego ref bird","Reference (non-KLMA)","Body",1,-113.625,45.125,61,427,0,99.4,"Low match quality -- see Methods"
"San Diego ref bird","Reference (non-KLMA)","Flight",2,-113.625,45.125,61,61,0,100,"Low match quality -- see Methods"
