"surface","Envelope_ID","Feather_cat","Group","n_feathers","combine_method","peak_lon","peak_lat","peak_share","area50_km2","area75_km2","area90_km2","P_Oregon","P_California","P_Nevada","P_Arizona","P_New_Mexico","P_Washington_Idaho_Utah","P_Baja_CA","P_Mainland_W_Mexico","P_within_100km_Klamath","low_precision_flag","single_cell_dominant_flag","shared_peak_flag"
"1272-31742__Body","1272-31742","Body","Reference_1272-31742",4,"joint_product",-105.292,21.875,0.0721,715,1510,2623,0,0,0,0,0,0,0,0.9491,0,TRUE,FALSE,FALSE
"1272-31742__Flight","1272-31742","Flight","Reference_1272-31742",3,"inconsistent_feathers_mean_fallback",-113.625,45.125,0.0569,14907,49100,104157,0.1439,0.1162,0.0232,0.0037,0.0193,0.3314,0.0012,0.2899,0,FALSE,FALSE,TRUE
"1422-02211__Body","1422-02211","Body","KLMA",2,"joint_product",-103.292,25.792,0.0081,14124,33438,65648,0,0,0,7e-04,0,0,0.2833,0.5607,0,FALSE,FALSE,FALSE
"1422-02211__Flight","1422-02211","Flight","KLMA",2,"joint_product",-119.958,39.125,0.0731,929,3847,9033,0.017,0.0535,0.3101,0,0,0.6122,0,0,0,TRUE,FALSE,FALSE
"1422-02212__Body","1422-02212","Body","KLMA",2,"joint_product",-121.792,39.208,0.0087,8011,19432,39101,0.2628,0.701,4e-04,4e-04,0.0066,0.0019,3e-04,0.0013,0,FALSE,FALSE,FALSE
"1422-02212__Flight","1422-02212","Flight","KLMA",2,"inconsistent_feathers_mean_fallback",-113.625,45.125,0.2639,427,50166,130792,0,0,0,9e-04,3e-04,0.5,0.1061,0.3377,0,TRUE,FALSE,TRUE
"1422-02213__Body","1422-02213","Body","KLMA",2,"joint_product",-105.292,21.958,0.0599,1033,1987,3100,0,0,0,0,0,0,0,0.9276,0,FALSE,FALSE,TRUE
"1422-02213__Flight","1422-02213","Flight","KLMA",2,"joint_product",-120.875,45.625,0.0277,2887,7639,17229,0.2896,0.0107,6e-04,1e-04,0,0.5992,0,0,3e-04,FALSE,FALSE,FALSE
"1422-02214__Body","1422-02214","Body","KLMA",2,"joint_product",-103.292,25.708,0.0104,9727,29132,69664,0,1e-04,0,0.0042,0.0029,0,0.2782,0.5456,0,FALSE,FALSE,TRUE
"1422-02214__Flight","1422-02214","Flight","KLMA",2,"joint_product",-119.542,45.958,0.0064,6967,14336,25673,0.3248,0.0082,0.0017,0,0,0.6653,0,0,0.0074,FALSE,FALSE,FALSE
"1422-02215__Body","1422-02215","Body","KLMA",2,"joint_product",-103.375,24.042,0.0044,22425,52502,105510,0,0.0046,0,0.0216,0.0205,0,0.0518,0.8622,0,FALSE,FALSE,FALSE
"1422-02215__Flight","1422-02215","Flight","KLMA",2,"joint_product",-113.625,45.125,0.4924,61,61,183,0.0011,0,0.0078,0,0,0.9909,0,0,0,TRUE,TRUE,TRUE
"1422-02216__Body","1422-02216","Body","KLMA",1,"single",-102.542,20.292,0.0013,72254,172399,322700,0,0.0111,0,0.0448,0.0439,0,0.106,0.7478,0,FALSE,FALSE,FALSE
"1422-02216__Flight","1422-02216","Flight","KLMA",2,"joint_product",-113.625,45.125,0.6106,61,61,61,1e-04,0,1e-04,0,0,0.9998,0,0,0,TRUE,TRUE,TRUE
"1422-02217__Body","1422-02217","Body","KLMA",2,"joint_product",-103.292,25.708,0.0104,9889,29601,70617,0,1e-04,0,0.0042,0.003,0,0.274,0.5524,0,FALSE,FALSE,TRUE
"1422-02217__Flight","1422-02217","Flight","KLMA",2,"joint_product",-113.625,45.125,0.1719,437,933,2638,0.0119,0.0065,0.2118,0,0,0.7657,0,0,0,TRUE,FALSE,TRUE
"1422-02218__Body","1422-02218","Body","KLMA",2,"joint_product",-121.958,38.125,0.0049,12451,30327,63155,0.0027,0.8254,0,0.0022,0.0069,0,0.003,0.1311,0,FALSE,FALSE,FALSE
"1422-02218__Flight","1422-02218","Flight","KLMA",2,"joint_product",-122.958,44.458,0.0095,5639,13696,28298,0.5778,0.2955,8e-04,5e-04,0.0212,0.0275,2e-04,8e-04,0,FALSE,FALSE,FALSE
"1422-02219__Body","1422-02219","Body","KLMA",2,"inconsistent_feathers_mean_fallback",-113.625,45.125,0.2137,973,42731,97821,3e-04,0,1e-04,1e-04,0,0.4995,0.0412,0.3981,0,TRUE,FALSE,TRUE
"1422-02219__Flight","1422-02219","Flight","KLMA",2,"joint_product",-112.625,44.125,0.0156,5608,18428,44627,0.0328,0.0489,0.1013,0,0,0.8148,0,0,1e-04,FALSE,FALSE,FALSE
"1422-02220__Flight","1422-02220","Flight","KLMA",2,"joint_product",-113.625,45.125,0.5343,61,61,183,5e-04,0,0.0029,0,0,0.9966,0,0,0,TRUE,TRUE,TRUE
"1422-02221__Body","1422-02221","Body","KLMA",1,"single",-122.708,44.958,0.0042,20852,50588,98761,0.3638,0.2288,0.0101,0.0152,0.0464,0.2334,0.0032,4e-04,0,FALSE,FALSE,FALSE
"1422-02221__Flight","1422-02221","Flight","KLMA",2,"joint_product",-113.625,45.125,0.5456,61,61,183,4e-04,0,0.0016,0,0,0.9979,0,0,0,TRUE,TRUE,TRUE
"1422-02251__Flight","1422-02251","Flight","KLMA",3,"inconsistent_feathers_mean_fallback",-105.292,21.958,0.0086,28755,83948,183486,0.0927,0.0169,0.0197,0,0,0.5351,0,0.293,0.0097,FALSE,FALSE,TRUE
"Population_Body","Population","Body","KLMA_summary",10,"population_mean",-113.625,45.125,0.0214,57055,176260,393051,0.063,0.1771,0.0011,0.0093,0.013,0.0735,0.1041,0.4727,0,FALSE,FALSE,FALSE
"Population_Flight","Population","Flight","KLMA_summary",12,"population_mean",-113.625,45.125,0.2194,1906,35292,153110,0.1124,0.0367,0.0549,1e-04,0.0018,0.7088,0.0089,0.0526,0.0015,FALSE,FALSE,FALSE
"San Diego ref bird__Body","San Diego ref bird","Body","San_Diego_ref",1,"single",-113.625,45.125,0.3341,61,183,427,0.004,0,0.0052,0,0,0.9904,0,0,0,TRUE,TRUE,TRUE
"San Diego ref bird__Flight","San Diego ref bird","Flight","San_Diego_ref",2,"joint_product",-113.625,45.125,0.7097,61,61,61,0,0,0,0,0,1,0,0,0,TRUE,TRUE,TRUE
